"key","context","status","comment","en-US","de-DE","es-419","fr-FR","it-IT","ja-JP","ko-KR","pt-BR","ru-RU","zh-CN","screenshotable","batch","test_name","en-US_screenshot","de-DE_screenshot","es-419_screenshot","fr-FR_screenshot","it-IT_screenshot","ja-JP_screenshot","ko-KR_screenshot","pt-BR_screenshot","ru-RU_screenshot","zh-CN_screenshot"
"Moldova340107108","this is a country","verified","","Moldova","Moldawien","Moldavia","Moldavie","Moldova","モルドバ","몰도바","Moldávia","Молдова","摩尔多瓦","no","1","","","","","","","","","","",""
"Monaco816679678","this is a country","verified","","Monaco","Monaco","Mónaco","Monaco","Monaco","モナコ","모나코","Mônaco","Монако","摩纳哥","no","1","","","","","","","","","","",""
"Mongolia660163234","this is a country","verified","","Mongolia","Mongolei","Mongolia","Mongolie","Mongolia","モンゴル","몽골","Mongólia","Монголия","蒙古","no","1","","","","","","","","","","",""
"Montenegro41150425","this is a country","verified","","Montenegro","Montenegro","Montenegro","Monténégro","Montenegro","モンテネグロ","몬테네그로","Montenegro","Черногория","黑山","no","1","","","","","","","","","","",""
"Montserrat747033720","this is a country","verified","","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","モントセラト","몬트세라트","Montserrat","Монтсеррат","蒙特塞拉特岛","no","1","","","","","","","","","","",""
"Morocco573169296","this is a country","verified","","Morocco","Marokko","Marruecos","Maroc","Marocco","モロッコ","모로코","Marrocos","Марокко","摩洛哥","no","1","","","","","","","","","","",""
"Mozambique23978275","this is a country","verified","","Mozambique","Mosambik","Mozambique","Mozambique","Mozambico","モザンビーク","모잠비크","Moçambique","Мозамбик","莫桑比克","no","1","","","","","","","","","","",""
"Myanmar719155201","this is a country","verified","","Myanmar","Myanmar","Myanmar","Myanmar","Myanmar","ミャンマー","미얀마","Myanmar","Мьянма","缅甸","no","1","","","","","","","","","","",""
"Namibia666065785","this is a country","verified","","Namibia","Namibia","Namibia","Namibie","Namibia","ナミビア","나미비아","Namíbia","Намибия","纳米比亚","no","1","","","","","","","","","","",""
"Nauru160597774","this is a country","verified","","Nauru","Nauru","Nauru","Nauru","Nauru","ナウル","나우루","Nauru","Науру","瑙鲁","no","1","","","","","","","","","","",""
"Nepal958195753","this is a country","verified","","Nepal","Nepal","Nepal","Népal","Nepal","ネパール","네팔","Nepal","Непал","尼泊尔","no","1","","","","","","","","","","",""
"Netherlands22512749","this is a country","verified","","Netherlands","Niederlande","Países Bajos","Pays-Bas","Paesi Bassi","オランダ","네덜란드","Holanda","Нидерланды","荷兰","no","1","","","","","","","","","","",""
"Netherlands_Antilles61758873","this is a country","verified","","Netherlands Antilles","Niederländische Antillen","Antillas Holandesas","Antilles néerlandaises","Antille Olandesi","オランダ領アンティル諸島","네덜란드령 안틸레스 제도","Antilhas Holandesas","Нидерландские Антильские острова","荷属安的列斯群岛","no","1","","","","","","","","","","",""
"New_Caledonia354142930","this is a country","verified","","New Caledonia","Neukaledonien","Nueva Caledonia","Nouvelle-Calédonie","Nuova Caledonia","ニューカレドニア","뉴 칼레도니아","Nova Caledônia","Новая Каледония","新喀里多尼亚","no","4","","","","","","","","","","",""
"New_Zealand673405591","this is a country","verified","","New Zealand","Neuseeland","Nueva Zelanda","Nouvelle-Zélande","Nuova Zelanda","ニュージーランド","뉴질랜드","Nova Zelândia","Новая Зеландия","新西兰","no","1","","","","","","","","","","",""
"Nicaragua49156523","this is a country","verified","","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","ニカラグア","니카라과","Nicarágua","Никарагуа","尼加拉瓜","no","1","","","","","","","","","","",""
"Niger96381425","this is a country","verified","","Niger","Niger","Níger","Niger","Niger","ニジェール","니제르","Níger","Нигер","尼日尔","no","1","","","","","","","","","","",""
"Nigeria1020781131","this is a country","verified","","Nigeria","Nigeria","Nigeria","Nigéria","Nigeria","ナイジェリア","나이지리아","Nigéria","Нигерия","尼日利亚","no","1","","","","","","","","","","",""
"Niue465110043","this is a country","verified","","Niue","Niue","Niue","Niue","Niue","ニウエ","니우에","Niue","Остров Ниуэ","纽埃岛","no","1","","","","","","","","","","",""
"Norfolk_Island806785028","this is a country","verified","","Norfolk Island","Norfolkinsel","Isla de Norfolk","Île de Norfolk","Isole Norfolk","ノーフォーク諸島","노퍽 섬","Ilha Norfolk","Остров Норфолк","诺福克岛","no","1","","","","","","","","","","",""
"Northern_Mariana_Islands41665137","this is a country","verified","","Northern Mariana Islands","Nördliche Marianen","Islas Marianas del Norte","Îles Mariannes du Nord","Marianne del Nord","北マリアナ諸島","북마리아나 제도","Ilhas Marianas do Norte","Северные Марианские острова","北马里亚纳群岛","no","1","","","","","","","","","","",""
"Norway692471205","this is a country","verified","","Norway","Norwegen","Noruega","Norvège","Norvegia","ノルウェー","노르웨이","Noruega","Норвегия","挪威","no","1","","","","","","","","","","",""
"Oman238378516","this is a country","verified","","Oman","Oman","Omán","Oman","Oman","オマーン","오만","Omã","Оман","阿曼","no","1","","","","","","","","","","",""
"Pakistan549566661","this is a country","verified","","Pakistan","Pakistan","Pakistán","Pakistan","Pakistan","パキスタン","파키스탄","Paquistão","Пакистан","巴基斯坦","no","1","","","","","","","","","","",""
"Palau285638346","this is a country","verified","","Palau","Palau","Palau","Palau","Palau","パラオ","팔라우","Palau","Острова Палау","帕劳群岛","no","1","","","","","","","","","","",""
"Palestine621061343","this is a country","verified","","Palestine","Palästina","Palestina","Palestine","Palestina","パレスチナ","팔레스타인","Palestina","Палестина","巴勒斯坦","no","1","","","","","","","","","","",""
"Panama682526535","this is a country","verified","","Panama","Panama","Panamá","Panama","Panama","パナマ","파나마","Panamá","Панама","巴拿马","no","1","","","","","","","","","","",""
"Papua_New_Guinea438815064","this is a country","verified","","Papua New Guinea","Papua-Neuguinea","Papúa Nueva Guinea","Papouasie Nouvelle-Guinée","Papua Nuova Guinea","パプア ニューギニア","파푸아뉴기니","Papua Nova-Guiné","Папуа - Новая Гвинея","巴布亚新几内亚","no","1","","","","","","","","","","",""
"Paraguay665730623","this is a country","verified","","Paraguay","Paraguay","Paraguay","Paraguay","Paraguay","パラグアイ","파라과이","Paraguai","Парагвай","巴拉圭","no","1","","","","","","","","","","",""
"Peru976351688","this is a country","verified","","Peru","Peru","Perú","Pérou","Perù","ペルー","페루","Peru","Перу","秘鲁","no","1","","","","","","","","","","",""
"Philippines178446280","this is a country","verified","","Philippines","Philippinen","Filipinas","Philippines","Filippine","フィリピン","필리핀","Filipinas","Филиппины","菲律宾","no","1","","","","","","","","","","",""
"Pitcairn226829514","this is a country","verified","","Pitcairn","Pitcairn","Pitcairn","Pitcairn","Pitcairn","ピトケアン諸島","핏케언 제도","Ilhas Pitcairn","Питкэрн","皮特凯恩岛","no","1","","","","","","","","","","",""
"Poland872484370","this is a country","verified","","Poland","Polen","Polonia","Pologne","Polonia","ポーランド","폴란드","Polônia","Польша","波兰","no","1","","","","","","","","","","",""
"Portugal281551614","this is a country","verified","","Portugal","Portugal","Portugal","Portugal","Portogallo","ポルトガル","포르투갈","Portugal","Португалия","葡萄牙","no","1","","","","","","","","","","",""
"Puerto_Rico954454096","this is a country","verified","","Puerto Rico","Puerto Rico","Puerto Rico","Porto Rico","Puerto Rico","プエルトリコ","푸에르토리코","Porto Rico","Пуэрто-Рико","波多黎各","no","1","","","","","","","","","","",""
"Qatar618512216","this is a country","verified","","Qatar","Katar","Qatar","Quatar","Qatar","カタール","카타르","Catar","Катар","卡塔尔","no","1","","","","","","","","","","",""
"Republic_of_Congo986758438","this is a country","verified","","Republic of Congo","Republik Kongo","República del Congo","République du Congo","Repubblica del Congo","コンゴ共和国","콩고 공화국","República do Congo","Республика Конго","刚果共和国","no","1","","","","","","","","","","",""
"Romania98681331","this is a country","verified","","Romania","Rumänien","Rumania","Roumanie","Romania","ルーマニア","루마니아","Romênia","Румыния","罗马尼亚","no","1","","","","","","","","","","",""
"Runion424722352","this is a country","verified","","Réunion","Réunion","Reunión","Réunion","Reunion","レユニオン島","리유니언","Reunião","Остров Реюньон","留尼旺岛","no","1","","","","","","","","","","",""
"Russia956355617","this is a country","verified","","Russia","Russland","Rusia","Russie","Russia","ロシア","러시아","Rússia","Россия","俄罗斯","no","1","","","","","","","","","","",""
"Rwanda14746562","this is a country","verified","","Rwanda","Ruanda","Ruanda","Rwanda","Ruanda","ルワンダ","르완다","Ruanda","Руанда","卢旺达","no","1","","","","","","","","","","",""
"SaintBarthlemy695938427","this is a country","verified","see screen stbarts-CH","Saint-Barthélemy","Saint-Barthélemy","San Bartolomé","Saint-Barthélemy","Saint-Barthélemy","サンバルテルミー","생바르텔레미","Saint-Barthélemy","Сен-Бартельми","圣巴泰勒米","no","1","","","","","","","","","","",""
"SaintMartin_French_part497303862","this is a country","verified","","Saint-Martin (French part)","Saint-Martin (französischer Teil)","San Martín (parte francesa)","Saint-Martin (partie française)","Saint-Martin (parte francese)","サンマルタン島 (フランス領域)","세인트 마틴(프랑스령)","Saint-Martin (França)","Сен-Мартен (Французская часть)","圣马丁岛法国部分","no","1","","","","","","","","","","",""
"Saint_Helena391800230","this is a country","verified","","Saint Helena","St. Helena","Santa Elena","Sainte-Hélène","Sant'Elena","セントヘレナ島","세인트 헬레나","Santa Helena","Остров Святой Елены","圣赫勒拿岛","no","1","","","","","","","","","","",""
"Saint_Kitts_and_Nevis921826334","this is a country","verified","","Saint Kitts and Nevis","St. Kitts und Nevis","San Cristóbal y Nieves","Saint Kitts et Nevis","Saint Kitts e Nevis","セントクリストファー ネイビス","세인트 크리스토퍼 네비스","São Cristóvão e Névis","Сент-Китс и Невис","圣基茨和尼维斯联邦","no","1","","","","","","","","","","",""
"Saint_Lucia149597172","this is a country","verified","","Saint Lucia","St. Lucia","Santa Lucía","Sainte-Lucie","Santa Lucia","セント ルシア","세인트 루시아","Santa Lúcia","Сент-Люсия","圣卢西亚岛","no","1","","","","","","","","","","",""
"Saint_Pierre_and_Miquelon854330676","this is a country","verified","","Saint Pierre and Miquelon","St. Pierre und Miquelon","San Pedro y Miquelón","Saint-Pierre-et-Miquelon","Saint Pierre e Miquelon","サンピエール ミクロン島","세인트 피에르 미켈론","São Pedro e Miquelon","Сен-Пьер и Микелон","圣皮埃尔岛和密克隆岛","no","1","","","","","","","","","","",""
"Saint_Vincent_and_the_Grenadines38825029","this is a country","verified","","Saint Vincent and the Grenadines","St. Vincent und die Grenadinen","San Vicente y las Granadinas","Saint-Vincent et les Grenadines","Saint Vincent e Granadine","セント ビンセントおよびグレナディーン諸島","세인트 빈센트 그레나딘","São Vicente e Granadinas","Сент-Винсент и Гренадины","圣文森特和格林纳丁斯","no","1","","","","","","","","","","",""
"Samoa608552917","this is a country","verified","","Samoa","Samoa","Samoa","Samoa","Samoa","サモア","사모아","Samoa","Самоа","萨摩亚","no","4","","","","","","","","","","",""
"San_Marino606489458","this is a country","verified","","San Marino","San Marino","San Marino","Saint-Marin","San Marino","サンマリノ","산마리노","São Marinho","Сан-Марино","圣马力诺","no","1","","","","","","","","","","",""
"Sao_Tome_and_Principe780785750","this is a country","verified","","Sao Tome and Principe","São Tomé und Príncipe","Santo Tomé y Príncipe","Sao Tomé-et-Principe","Sao Tome e Principe","サントメ プリンシペ","쌍투메 프린시페","São Tomé e Príncipe","Сан-Томе и Принсипи","圣多美和普林西比","no","1","","","","","","","","","","",""
"Saudi_Arabia61481940","this is a country","verified","","Saudi Arabia","Saudi-Arabien","Arabia Saudita","Arabie Saoudite","Arabia Saudita","サウジアラビア","사우디아라비아","Arábia Saudita","Саудовская Аравия","沙特阿拉伯","no","1","","","","","","","","","","",""
"Senegal323848626","this is a country","verified","","Senegal","Senegal","Senegal","Sénégal","Senegal","セネガル","세네갈","Senegal","Сенегал","塞内加尔","no","1","","","","","","","","","","",""
"Serbia461125243","this is a country","verified","","Serbia","Serbien","Serbia","Serbie","Serbia","セルビア","세르비아","Sérvia","Сербия","塞尔维亚","no","1","","","","","","","","","","",""
"Seychelles711669679","this is a country","verified","","Seychelles","Seychellen","Seychelles","Seychelles","Seychelles","セイシェル","세이셸","Seicheles","Сейшельские острова","塞舌尔","no","1","","","","","","","","","","",""
"Sierra_Leone269404278","this is a country","verified","","Sierra Leone","Sierra Leone","Sierra Leona","Sierra Leone","Sierra Leone","シエラレオネ","시에라리온","Serra Leoa","Сьерра-Леоне","塞拉利昂","no","1","","","","","","","","","","",""
"Singapore288536562","this is a country","verified","","Singapore","Singapur","Singapur","Singapour","Singapore","シンガポール","싱가포르","Cingapura","Сингапур","新加坡","no","4","","","","","","","","","","",""
"Slovakia82595665","this is a country","verified","","Slovakia","Slowakei","Eslovaquia","Slovaquie","Slovacchia","スロバキア","슬로바키아","Eslováquia","Словакия","斯洛伐克","no","1","","","","","","","","","","",""
"Slovenia881184186","this is a country","verified","","Slovenia","Slowenien","Eslovenia","Slovénie","Slovenia","スロベニア","슬로베니아","Eslovênia","Словения","斯洛文尼亚","no","1","","","","","","","","","","",""
"Solomon_Islands20159645","this is a country","verified","","Solomon Islands","Salomonen","Islas Salomón","Îles Salomon","Isole Salomone","ソロモン諸島","솔로몬 제도","Ilhas Salomão","Соломоновы острова","所罗门群岛","no","1","","","","","","","","","","",""
"Somalia839482360","this is a country","verified","","Somalia","Somalia","Somalia","Somalie","Somalia","ソマリア","소말리아","Somália","Сомали","索马里","no","1","","","","","","","","","","",""
"South_Africa322479412","this is a country","verified","","South Africa","Südafrika","Sudáfrica","Afrique du Sud","Sudafrica","南アフリカ","남아프리카","África do Sul","Южно-Африканская Республика","南非","no","1","","","","","","","","","","",""
"South_Georgia_and_the_South_Sandwich_Islands266443248","this is a country","verified","","South Georgia and the South Sandwich Islands","Südgeorgien und die Südlichen Sandwichinseln","Islas Georgias del Sur y Sandwich del Sur","Géorgie du Sud et Îles Sandwich du Sud","Georgia del Sud e Isole Sandwich Meridionali","サウスジョージア島、サウスサンドウィッチ島","사우스 조지아 및 사우스 샌드위치 제도","Ilhas Geórgia do Sul e Sandwich do Sul","Южная Георгия и Южные Сандвичевы острова","南乔治亚岛和南桑威奇群岛","no","1","","","","","","","","","","",""
"South_Korea368309560","this is a country","verified","","South Korea","Südkorea","Corea del Sur","Corée du Sud","Corea del Sud","韓国","대한민국","Coréia do Sul","Южная Корея","韩国","no","1","","","","","","","","","","",""
"Spain223441889","this is a country","verified","","Spain","Spanien","España","Espagne","Spagna","スペイン","스페인","Espanha","Испания","西班牙","no","1","","","","","","","","","","",""
"Sri_Lanka732599136","this is a country","verified","","Sri Lanka","Sri Lanka","Sri Lanka","Ceylan","Sri Lanka","スリランカ","스리랑카","Sri Lanka","Шри-Ланка","斯里兰卡","no","1","","","","","","","","","","",""
"Sudan21604823","this is a country","verified","","Sudan","Sudan","Sudán","Soudan","Sudan","スーダン","수단","Sudão","Судан","苏丹","no","1","","","","","","","","","","",""
"Suriname662837544","this is a country","verified","","Suriname","Surinam","Surinam","Surinam","Suriname","スリナム","수리남","Suriname","Суринам","苏里南","no","1","","","","","","","","","","",""
"Svalbard_and_Jan_Mayen_Islands50598595","this is a country","verified","","Svalbard and Jan Mayen Islands","Svalbard und Jan Mayen","Islas Svalbard y Jan Mayen","Îles Svalbard et Jan Mayen","Isole Svalbard e Jan Mayen","スバルバール諸島およびヤンマイエン島","스발바르드 얀마이엔 제도","Ilhas Svalbard e Jan Mayen","Острова Шпицберген и Ян-Майен","斯瓦尔巴特和扬马延岛","no","1","","","","","","","","","","",""
"Swaziland538575865","this is a country","verified","","Swaziland","Swasiland","Suazilandia","Swaziland","Swaziland","スワジランド","스와질란드","Suazilândia","Свазиленд","斯威士兰","no","1","","","","","","","","","","",""
"Sweden761795189","this is a country","verified","","Sweden","Schweden","Suecia","Suède","Svezia","スウェーデン","스웨덴","Suécia","Швеция","瑞典","no","1","","","","","","","","","","",""
"Switzerland220511481","this is a country","verified","","Switzerland","Schweiz","Suiza","Suisse","Svizzera","スイス","스위스","Suíça","Швейцария","瑞士","no","1","","","","","","","","","","",""
"Taiwan704576955","this is a country","verified","","Taiwan","Taiwan","Taiwán","Taïwan","Taiwan","台湾","대만","Taiwan","Тайвань","中国台湾","no","1","","","","","","","","","","",""
"Tajikistan921868902","this is a country","verified","","Tajikistan","Tadschikistan","Tayikistán","Tadjikistan","Tagikistan","タジキスタン","타지키스탄","Tadjiquistão","Таджикистан","塔吉克斯坦","no","1","","","","","","","","","","",""
"Tanzania392285690","this is a country","verified","","Tanzania","Tansania","Tanzania","Tanzanie","Tanzania","タンザニア","탄자니아","Tanzânia","Танзания","坦桑尼亚","no","1","","","","","","","","","","",""
"Thailand332250081","this is a country","verified","","Thailand","Thailand","Tailandia","Thaïlande","Thailandia","タイ","태국","Tailândia","Таиланд","泰国","no","1","","","","","","","","","","",""
"TimorLeste12436372","this is a country","verified","","Timor-Leste","Osttimor","Timor Oriental","Timor Oriental","Timor Est","東チモール","동티모르","Timor Leste","Восточный Тимор","东帝汶","no","1","","","","","","","","","","",""
"Togo14240786","this is a country","verified","","Togo","Togo","Togo","Togo","Togo","トーゴ","토고","Togo","Того","多哥","no","1","","","","","","","","","","",""
"Tokelau694214356","this is a country","verified","","Tokelau","Tokelau","Tokelau","Tokelau","Tokelau","トケラウ","토켈라우","Tokelau","Токелау","托克劳群岛","no","1","","","","","","","","","","",""
"Tonga704257503","this is a country","verified","","Tonga","Tonga","Tonga","Tonga","Tonga","トンガ","통가","Tonga","Тонга","汤加","no","1","","","","","","","","","","",""
"Trinidad_and_Tobago622771075","this is a country","verified","","Trinidad and Tobago","Trinidad und Tobago","Trinidad y Tobago","Trinité et Tobago","Trinidad e Tobago","トリニダード トバゴ","트리니다드 토바고","Trinidad e Tobago","Тринидад и Тобаго","特立尼达和多巴哥","no","1","","","","","","","","","","",""
"Tunisia445161537","this is a country","verified","","Tunisia","Tunesien","Túnez","Tunisie","Tunisia","チュニジア","튀니지","Tunísia","Тунис","突尼斯","no","1","","","","","","","","","","",""
"Turkey1062499239","this is a country","verified","","Turkey","Türkei","Turquía","Turquie","Turchia","トルコ","터키","Turquia","Турция","土耳其","no","1","","","","","","","","","","",""
"Turkmenistan729609051","this is a country","verified","","Turkmenistan","Turkmenistan","Turkmenistán","Turkménistan","Turkmenistan","トルクメニスタン","투르크메니스탄","Turcomenistão","Туркмения","土库曼斯坦","no","1","","","","","","","","","","",""
"Turks_and_Caicos_Islands113276813","this is a country","verified","","Turks and Caicos Islands","Turks- und Caicosinseln","Islas Turcas y Caicos","Îles Turques et Caicos","Isole Turks e Caicos","タークス カイコス諸島","터크스 카이코스 제도","Ilhas Turks e Caicos","Острова Теркс и Кайкос","特克斯和凯科斯群岛","no","1","","","","","","","","","","",""
"Tuvalu209001651","this is a country","verified","","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Tuvalu","ツバル","투발루","Tuvalu","Тувалу","图瓦卢","no","1","","","","","","","","","","",""
"Uganda79573260","this is a country","verified","","Uganda","Uganda","Uganda","Ouganda","Uganda","ウガンダ","우간다","Uganda","Уганда","乌干达","no","1","","","","","","","","","","",""
"Ukraine118361603","this is a country","verified","","Ukraine","Ukraine","Ucrania","Ukraine","Ucraina","ウクライナ","우크라이나","Ucrânia","Украина","乌克兰","no","1","","","","","","","","","","",""
"United_Arab_Emirates285780795","this is a country","verified","","United Arab Emirates","Vereinte Arabische Emirate","Emiratos Árabes Unidos","Émirats Arabes Unis","Emirati Arabi Uniti","アラブ首長国連邦","아랍에미리트","Emirados Árabes Unidos","Объединенные Арабские Эмираты","阿拉伯联合酋长国","no","1","","","","","","","","","","",""
"United_Kingdom7996048","this is a country","verified","","United Kingdom","Vereinigtes Königreich","Reino Unido","Royaume-Uni","Regno Unito","イギリス","영국","Reino Unido","Великобритания","英国","no","1","","","","","","","","","","",""
"United_States184708854","this is a country","verified","","United States","USA","Estados Unidos","États-Unis","Stati Uniti","アメリカ合衆国","미국","Estados Unidos","США","美国","no","1","","","","","","","","","","",""
"Uruguay116238807","this is a country","verified","","Uruguay","Uruguay","Uruguay","Uruguay","Uruguay","ウルグアイ","우루과이","Uruguai","Уругвай","乌拉圭","no","1","","","","","","","","","","",""
"Uzbekistan630945337","this is a country","verified","","Uzbekistan","Usbekistan","Uzbekistán","Ouzbékistan","Uzbekistan","ウズベキスタン","우즈베키스탄","Uzbequistão","Узбекистан","乌兹别克斯坦","no","1","","","","","","","","","","",""
"Vanuatu58177466","this is a country","verified","","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Vanuatu","バヌアツ","바누아투","Vanuatu","Вануату","瓦努阿图","no","1","","","","","","","","","","",""
"Venezuela640107971","this is a country","verified","","Venezuela","Venezuela","Venezuela","Venezuela","Venezuela","ベネズエラ","베네수엘라","Venezuela","Венесуэла","委内瑞拉","no","1","","","","","","","","","","",""
"Viet_Nam515724226","this is a country","verified","","Viet Nam","Vietnam","Vietnam","Viêt-Nam","Vietnam","ベトナム","베트남","Vietnã","Вьетнам","越南","no","1","","","","","","","","","","",""
"Virgin_Islands_US494923456","this is a country","verified","","Virgin Islands, U.S.","Jungferninseln, USA","Islas Vírgenes, EE.UU.","Îles Vierges (États-Unis)","Isole Vergini, USA","米領バージン諸島","미국령 버진아일랜드","Ilhas Virgens, EUA","Виргинские острова, США","美属维尔京群岛","no","1","","","","","","","","","","",""
"Wallis_and_Futuna_Islands647714221","this is a country","verified","","Wallis and Futuna Islands","Wallis und Futuna","Islas Wallis y Futuna","Îles Wallis et Futuna","Isole Wallis e Futuna","ワリスフツナ諸島","월리스 푸트나 제도","Ilhas Wallis e Futuna","Острова Уоллис и Футуна","瓦利斯群岛和富图纳群岛","no","1","","","","","","","","","","",""
"Western_Sahara839716874","this is a country","verified","","Western Sahara","Westsahara","Sahara Occidental","Sahara Occidental","Sahara Occidentale","西サハラ","서사하라","Saara Ocidental","Западная Сахара","西撒哈拉","no","1","","","","","","","","","","",""
"Yemen803376793","this is a country","verified","","Yemen","Jemen","Yemen","Yémen","Yemen","イエメン","예멘","Iêmen","Йемен","也门","no","1","","","","","","","","","","",""
"Zambia75365191","this is a country","verified","","Zambia","Sambia","Zambia","Zambie","Zambia","ザンビア","잠비아","Zâmbia","Замбия","赞比亚","no","1","","","","","","","","","","",""
"Zimbabwe226730608","this is a country","verified","","Zimbabwe","Simbabwe","Zimbabwe","Zimbabwe","Zimbabwe","ジンバブエ","짐바브웨","Zimbábue","Зимбабве","津巴布韦","no","1","","","","","","","","","","",""
"land_Islands267095688","this is a country","verified","","Åland Islands","Åland","Islas Åland","Îles Åland","Isole Åland","オーランド諸島","올란드 제도","Ilhas Åland","Аландские острова","奥兰群岛","no","1","","","","","","","","","","",""
